Name,SMARTS
"1,2,3,4-tetrahydronaphtalene",[cR1]2[cR1][cR1][cR2]1-[CR1]-[CR1]-[CR1]-[CR1]-[cR2]1[cR1]2
"1,2,4-oxadiazole",o1[nR1][cR1][nR1][cR1]1
"1,4-dihydropyridine",[#6R1]-1-[#6R1]=[#6R1]-[#7R1]-[#6R1]=[#6R1]-1
1-2-4-Triazines,[nR1]1[nR1][cR1][nR1][cR1][cR1]1
1-3-5-Triazines,[nR1]1[cR1][nR1][cR1][nR1][cR1]1
"2,3-dihydrobenzofurane",[OX2]-1-[CR1]-[CR1]-[cR2]2[cR2]-1[cR1][cR1][cR1][cR1]2
2-halopyrimidine,"[cR1]1([nR1][cR1][cR1][cR1][nR1]1)-[Cl,I,Br,F]"
tetrahydrofuranone,[OX2]-1-[CR1](=O)-[CR1]-[CR1]-[CR1]-1
Tetrahydropyran,[OX2;H0]-1-[CR1]-[CR1]-[CR1]-[CR1]-[CR1]-1
Phenoxanthiine,[SX2]-1-[cR2]3[cR2](-[OX2]-[cR2]2[cR2]-1[cR1][cR1][cR1][cR1]2)[cR1][cR1][cR1][cR1]3
Phenoxazine,[OX2]-1-[cR2]3[cR2](-[NX3]-[cR2]2[cR2]-1[cR1][cR1][cR1][cR1]2)[cR1][cR1][cR1][cR1]3
Benzo[b]-Furanes,[oX2]1[cR1][cR1][cR2]2[cR2]1[cR1][cR1][cR1][cR1]2
Benzo[b]-Thiophenes,[sX2]1[cR1][cR1][cR2]2[cR2]1[cR1][cR1][cR1][cR1]2
carbazole,[nX3;H1]2:[cR2]1[cR2]([cR1][cR1][cR1][cR1]1):[cR2]3[cR2]:2[cR1][cR1][cR1][cR1]3
Pteridines,[nR1]2[cR1][nR1][cR2]1[nR1][cR1][cR1][nR1][cR2]1[cR1]2
Purines,[nR1]1[cR1][cR2]2[cR2]([nR1][cR1]1)[nR1][cR1][nR1]2
Pyrazines,[nR1]1[cR1][cR1][nR1][cR1][cR1]1
Pyrazoles,[NX2]-1=[CX3R1]-[CX4R1]-[CX3R1]=[NX2]-1
pyridazin-3(2H)-one,[OX1]=[CX3]-1-[NX2R1]=[NX2R1]-[CX4R1]-[CX3]=[CX3]-1
Pyridazines,[nR1]1[nR1][cR1][cR1][cR1][cR1]1
Pyridines,[nR1]1[cR1][cR1][cR1][cR1][cR1]1
Pyrimidines,[nR1]1[cR1][nR1][cR1][cR1][cR1]1
Pyrroles,[nR1]1[cR1][cR1][cR1][cR1]1
Pyrrolidines,[NX3]-1-[CX4R1]-[CX4R1]-[CX4R1]-[CX4R1]-1
Azepanes,[NR1]-1-[CR1]-[CR1]-[CR1]-[CR1]-[CR1]-[CR1]-1
azetidin-2-one,[NR1]-1-[CR1](=[OX1])-[CR1]-[CR1]-1
Azetidines,[NR1]-1-[CR1]-[CR1]-[CR1]-1
Aziridines,[NR1]-1-[CR1]-[CR1]-1
BenzImidazoles,[nX3]1[cR1][n][cR2]2[cR2]1[cR1][cR1][cR1][cR1]2
Cinnolines,[nX2;H0]2[nX2;H0][cR2]1[cR1][cR1][cR1][cR1][cR2]1[cR1][cR1]2
Indoles,[nR1]2[cR2]1[cR1][cR1][cR1][cR1][cR2]1[cR1][cR1]2
Isothiazoles,[sX2]1[nX2;R1][cR1][cR1][cR1]1
Isoxazoles,[oX2]1[nX2;R1][cR1][cR1][cR1]1
Morpholines,[CR1]-1-[CR1]-[OX2]-[CR1]-[CR1]-[NX3]-1
Nortropanes,[NX3]-1-[CR2]-2-[CR1]-[CR1]-[CR1]-[CR2]-1-[CR1]-[CR1]-2
Oxazoles,[oR1]1[cR1][nR1][cR1][cR1]1
Oxetanes,[OX2;R1]-1-[CR1]-[CR1]-[CR1]-1
Piperidenes,[NX3]-1-[CR1]-[CR1]-[CR1]-[CR1]-[CR1]-1
tetrahydro-thiophenes,[SX2]1[CR1][CR1][CR1][CR1]1
Thiazoles,[sX2]1[cR1][nR1][cR1][cR1]1
Thiethanes,[SX2R1]-1-[CR1]-[CR1]-[CR1]-1
